,Name,Date,Time,Category,SubCategory,Max,Min,SalesStart,SalesEnd,Status,City,State,Latitude,Longitude,Description,Currency,URL,ID,Venues
375,Hamilton (Touring),2024-07-05,19:30:00,Theatre,Musical,199.0,49.0,2023-12-11 16:00:00,2024-07-06 01:30:00,onsale,Tempe,Arizona,33.4170454,-111.9399956,"HAMILTON is the story of America then, told by America now. Featuring a score that blends hip-hop, jazz, R&B and Broadway, HAMILTON has taken the story of American founding father Alexander Hamilton and created a revolutionary moment in theatre-a musical that has had a profound impact on culture, politics, and education. With book, music, and lyrics by Lin-Manuel Miranda, direction by Thomas Kail, choreography by Andy Blankenbuehler, and musical supervision and orchestrations by Alex Lacamoire, HAMILTON is based on Ron Chernow's acclaimed biography. It has won Tony, Grammy, and Olivier Awards, the Pulitzer Prize for Drama, and an unprecedented special citation from the Kennedy Center Honors.",USD,https://www.ticketmaster.com/hamilton-touring-tempe-arizona-07-05-2024/event/19005F76978211EE,G5v0Z9MQ9O-6m,N/A
376,Disney On Ice presents Find Your Hero,2024-04-06,19:00:00,Ice Shows,Ice Shows,95.28,25.47,2023-10-17 14:00:00,2024-04-07 01:00:00,onsale,Louisville,Kentucky,38.25713,-85.753958,"Discover the hero inside us all when Disney On Ice returns with the magical adventures of favorite Disney stars brought to life like never before. Step inside the music and magic of Encanto with Mirabel and her family as they learn that everyone has a special gift. Sail away with Moana and Maui on their brave journey across the ocean to return the heart of Te Fiti. Join Anna and Elsa on their quest to protect their kingdom. Be inspired by the Disney Princesses with stories of courage, determination and kindness as you swim under the sea with Ariel, explore an enchanted castle with Belle, and belt out your dreams with Rapunzel. Hosted by Mickey and Minnie, experience world-class ice skating, iconic music, and stunning costumes that will make Disney On Ice presents Find Your Hero an experience the whole family will treasure forever. *Note: Costumes not permitted for guests 14 years & older. Visit DisneyOnIce.com for more information.",USD,https://www.ticketmaster.com/disney-on-ice-presents-find-your-louisville-kentucky-04-06-2024/event/16005F16C47F2FB3,G5vbZ9sh7LwXS,N/A
377,Anaheim Ducks vs. Minnesota Wild,2024-03-19,19:00:00,Hockey,NHL,291.0,27.0,,,onsale,Anaheim,California,33.80780364,-117.87653112,N/A,USD,https://www.ticketmaster.com/anaheim-ducks-vs-minnesota-wild-anaheim-california-03-19-2024/event/09005ED6CB2D38CB,vvG10Z9ch55KN5,N/A
378,New York Yankees vs. Tampa Bay Rays,2024-04-21,13:35:00,Baseball,MLB,390.0,20.0,2023-09-13 14:00:00,2024-04-21 17:35:00,onsale,Bronx,New York,40.8285237,-73.9276264,"Please adhere to published limits. Persons who exceed the ticket limit may have any or all of their orders and tickets cancelled without notice by Ticketmaster in its discretion. This includes orders associated with the same name, e-mail, billing address, credit card number or other information. If you purchase tickets, you may receive customer service messages via email from the New York Yankees, including optional surveys regarding your baseball experience. Ticket holder assumes all risk of injury from balls and bats entering the stands. Please note that protective netting of varying heights is used in the Stadium from Section 011 to behind home plate to Section 029. For more information, please visit yankees.com/netting. The number of innings in a regulation game shall be determined by MLB and may be shortened in accordance with MLB rules. Licensor makes no representation, warranty and/or guarantee that nine (9) innings will be played in any regulation game.",USD,https://www.ticketmaster.com/new-york-yankees-vs-tampa-bay-bronx-new-york-04-21-2024/event/1D005F26CC0A4C04,G5vVZ9whGe0Y7,N/A
379,SHANIA TWAIN - COME ON OVER The Las Vegas Residency - All The Hits!,2024-08-24,20:00:00,Country,Country,452.0,100.0,2023-08-21 17:00:00,2024-08-25 04:00:00,onsale,Las Vegas,Nevada,36.10961689,-115.17247058,N/A,USD,https://www.ticketmaster.com/shania-twain-come-on-over-the-las-vegas-nevada-08-24-2024/event/39005F0AC96E195F,G5d0Z9Ylah-PL,N/A
380,Colorado Rockies vs. Los Angeles Dodgers,2024-06-20,13:10:00,Baseball,MLB,310.0,12.0,2024-01-17 17:00:00,2024-06-20 20:10:00,onsale,Denver,Colorado,39.7564355,-104.9942814,N/A,USD,https://www.ticketmaster.com/colorado-rockies-vs-los-angeles-dodgers-denver-colorado-06-20-2024/event/1E005F54A8441F13,G5vzZ9g3IovHK,N/A
381,Pittsburgh Penguins vs. Detroit Red Wings,2024-04-11,19:00:00,Hockey,NHL,275.0,49.0,2023-08-02 14:00:00,2024-04-12 00:00:00,onsale,Pittsburgh,Pennsylvania,40.4388401,-79.9908551,"Promotion: Youth Hockey Night Mobile Ticketing Alert: In an effort to ensure a ticketing experience that is more convenient, safe and secure for all Penguins fans, guests must present a mobile ticket on a smartphone for game entry. Screenshots and print outs will not be accepted. Bags are not permitted in PPG Paints Arena. Exceptions, after inspection, will be made for medical bags, diaper bags, and wristlets or wallets no larger than 4 x 6 x 1.5. PPG Paints Arena is a cashless venue. Credit and debit cards as well as Apple/Google Pay are accepted. Reverse ATMs are available to convert cash to a pre-paid Visa card. To make the most of your game day experience, be sure to download the Penguins app for online ticket management, mobile concession ordering, game previews and more!",USD,https://www.ticketmaster.com/pittsburgh-penguins-vs-detroit-red-wings-pittsburgh-pennsylvania-04-11-2024/event/16005ED7DA406528,G5vbZ9cLQ8kfI,N/A
382,Arizona Coyotes vs. Vancouver Canucks,2024-04-03,19:00:00,Hockey,NHL,998.0,110.0,2023-08-11 17:00:00,2024-04-04 02:00:00,onsale,Tempe,Arizona,33.42535353,-111.92926329,"Please note the following for Arizona Coyotes games at Mullett Arena: - The NHL has a NO BAG POLICY. Only small clutches are allowed. Each guest may carry a small clutch/purse no larger than 4.5 inches x 6.5 inches. All bags are subject to search. Other things to consider are no bags, backpacks, large purses, oversized tote bags, colored plastic bags, solid drawstring bags, fanny packs, camera bags, binocular cases, mesh bags or reusable grocery bags are allowed. The arena does NOT have a check-in location for prohibited items. Medical bags and diaper bags are permitted and subject to a thorough search. - Mullett Arena is a CASHLESS Venue. Cash will not be accepted. - Sections 114, 115, 116, and 117 DO NOT have seat backs. - The advance price for parking is $30.00 and day of game parking is $40.00. - Tickets labeled with SRO are Standing Room Only tickets in an assigned section and do not have a physical seat.",USD,https://www.ticketmaster.com/arizona-coyotes-vs-vancouver-canucks-tempe-arizona-04-03-2024/event/19005EEA80290D3F,G5v0Z9mnZ18VT,N/A
383,Boston Red Sox vs. New York Yankees,2024-03-17,13:05:00,Baseball,MLB,0.0,0.0,1900-01-01 06:00:00,2024-03-17 17:05:00,onsale,Fort Myers,Florida,26.4783,-81.730598,N/A,N/A,https://www.ticketmaster.com/event/Z7r9jZ1AdPV-J,Z7r9jZ1AdPV-J,N/A
384,Disney On Ice presents Find Your Hero,2024-03-17,17:00:00,Ice Shows,Ice Shows,95.0,23.0,2023-10-24 14:00:00,2024-03-17 22:00:00,onsale,Estero,Florida,26.440127,-81.778614,"Discover the hero inside us all when Disney On Ice returns with the magical adventures of favorite Disney stars brought to life like never before. Step inside the music and magic of Encanto with Mirabel and her family as they learn that everyone has a special gift. Sail away with Moana and Maui on their brave journey across the ocean to return the heart of Te Fiti. Join Anna and Elsa on their quest to protect their kingdom. Be inspired by the Disney Princesses with stories of courage, determination and kindness as you swim under the sea with Ariel, explore an enchanted castle with Belle, and belt out your dreams with Rapunzel. Hosted by Mickey and Minnie, experience world-class ice skating, iconic music, and stunning costumes that will make Disney On Ice presents Find Your Hero an experience the whole family will treasure forever. *Note: Costumes not permitted for guests 14 years & older. Visit DisneyOnIce.com for more information.",USD,https://www.ticketmaster.com/disney-on-ice-presents-find-your-estero-florida-03-17-2024/event/0D005F21A0F0BA46,vvG1VZ9wkOH5tk,N/A
385,Chicago Cubs vs. New York Yankees,2024-09-07,13:20:00,Baseball,MLB,0.0,0.0,1900-01-01 06:00:00,2024-09-07 18:20:00,onsale,Chicago,Illinois,41.954102,-87.6605,N/A,N/A,https://www.ticketmaster.com/event/Z7r9jZ1AdPfJe,Z7r9jZ1AdPfJe,N/A
386,SHANIA TWAIN - COME ON OVER The Las Vegas Residency - All The Hits!,2024-09-07,20:00:00,Country,Country,452.0,100.0,2023-08-21 17:00:00,2024-09-08 04:00:00,onsale,Las Vegas,Nevada,36.10961689,-115.17247058,N/A,USD,https://www.ticketmaster.com/shania-twain-come-on-over-the-las-vegas-nevada-09-07-2024/event/39005F0AC97E1973,G5d0Z9YlaL-PS,N/A
387,New York Yankees vs. Toronto Blue Jays,2024-08-04,13:35:00,Baseball,MLB,390.0,25.0,2023-09-13 14:00:00,2024-08-04 17:35:00,onsale,Bronx,New York,40.8285237,-73.9276264,"Please adhere to published limits. Persons who exceed the ticket limit may have any or all of their orders and tickets cancelled without notice by Ticketmaster in its discretion. This includes orders associated with the same name, e-mail, billing address, credit card number or other information. If you purchase tickets, you may receive customer service messages via email from the New York Yankees, including optional surveys regarding your baseball experience. Ticket holder assumes all risk of injury from balls and bats entering the stands. Please note that protective netting of varying heights is used in the Stadium from Section 011 to behind home plate to Section 029. For more information, please visit yankees.com/netting. The number of innings in a regulation game shall be determined by MLB and may be shortened in accordance with MLB rules. Licensor makes no representation, warranty and/or guarantee that nine (9) innings will be played in any regulation game.",USD,https://www.ticketmaster.com/new-york-yankees-vs-toronto-blue-bronx-new-york-08-04-2024/event/1D005F26CC384D7D,G5vVZ9whGC7gW,N/A
388,Arizona Coyotes vs. Vegas Golden Knights,2024-04-05,19:00:00,Hockey,NHL,998.0,125.0,2023-08-11 17:00:00,2024-04-06 02:00:00,onsale,Tempe,Arizona,33.42535353,-111.92926329,"Please note the following for Arizona Coyotes games at Mullett Arena: - The NHL has a NO BAG POLICY. Only small clutches are allowed. Each guest may carry a small clutch/purse no larger than 4.5 inches x 6.5 inches. All bags are subject to search. Other things to consider are no bags, backpacks, large purses, oversized tote bags, colored plastic bags, solid drawstring bags, fanny packs, camera bags, binocular cases, mesh bags or reusable grocery bags are allowed. The arena does NOT have a check-in location for prohibited items. Medical bags and diaper bags are permitted and subject to a thorough search. - Mullett Arena is a CASHLESS Venue. Cash will not be accepted. - Sections 114, 115, 116, and 117 DO NOT have seat backs. - The advance price for parking is $30.00 and day of game parking is $40.00. - Tickets labeled with SRO are Standing Room Only tickets in an assigned section and do not have a physical seat.",USD,https://www.ticketmaster.com/arizona-coyotes-vs-vegas-golden-knights-tempe-arizona-04-05-2024/event/19005EEA802D0D42,G5v0Z9mnZ58ge,N/A
389,Disney On Ice presents Into the Magic,2024-03-23,19:00:00,Ice Shows,Ice Shows,85.0,15.0,2023-11-14 15:00:00,2024-03-24 00:00:00,onsale,Trenton,New Jersey,40.2127206,-74.7577,"Discover why no dream is too big at Disney On Ice presents Into the Magic! Seek adventure in the great wide somewhere with Belle as she explores the Beasts enchanted castle, experience Moanas courage to embark on a voyage with demigod Maui to save her island, and sing-along with Miguel from Coco as he follows the music in his heart. Be inspired by Annas devotion to her sister Elsa on her journey to the North Mountain to stop the eternal winter, and watch Rapunzel and Flynn go to great lengths to make her dream come true. Celebrate the magic of courage, love and adventure at Disney On Ice! *Note: Costumes not permitted for guests 14 years & older. Visit DisneyOnIce.com for more information.",USD,https://www.ticketmaster.com/disney-on-ice-presents-into-the-trenton-new-jersey-03-23-2024/event/00005F4AE33A3437,k7vGF9VlNCN8M,N/A
390,Hamilton (Touring),2024-05-08,19:30:00,Theatre,Musical,229.0,39.0,2024-02-08 16:00:00,2024-05-09 00:30:00,onsale,Dallas,Texas,32.79082489,-96.79801941,"A revolutionary story of passion, unstoppable ambition, and the dawn of a new nation. HAMILTON is the epic saga that follows the rise of Founding Father Alexander Hamilton as he fights for honor, love, and a legacy that would shape the course of a nation. Based on Ron Chernow's acclaimed biography and set to a score that blends hip-hop, jazz, R&B, and Broadway,, HAMILTON has had a profound impact on culture, politics, and education. HAMILTON features book, music, and lyrics by Lin-Manuel Miranda, direction by Thomas Kail, choreography by Andy Blankenbuehler, and musical supervision and orchestrations by Alex Lacamoire. In addition to its 11 Tony Awards, it has won Grammy, Olivier Awards, the Pulitzer Prize for Drama, and an unprecedented special citation from the Kennedy Center Honors.",USD,https://www.ticketmaster.com/hamilton-touring-dallas-texas-05-08-2024/event/0C005F7CC5322DEA,vvG1YZ9MSAGxMn,N/A
391,Los Angeles Dodgers vs. San Diego Padres,2024-04-14,16:10:00,Baseball,MLB,0.0,0.0,1900-01-01 06:00:00,2024-04-14 23:10:00,onsale,Los Angeles,California,34.0658,-118.2388,N/A,N/A,https://www.ticketmaster.com/event/Z7r9jZ1AdP97F,Z7r9jZ1AdP97F,N/A
392,Hamilton (Touring),2024-06-25,19:30:00,Theatre,Musical,269.0,49.0,2023-12-11 16:00:00,2024-06-26 01:30:00,onsale,Tempe,Arizona,33.4170454,-111.9399956,"HAMILTON is the story of America then, told by America now. Featuring a score that blends hip-hop, jazz, R&B and Broadway, HAMILTON has taken the story of American founding father Alexander Hamilton and created a revolutionary moment in theatre - a musical that has had a profound impact on culture, politics, and education. With book, music, and lyrics by Lin-Manuel Miranda, direction by Thomas Kail, choreography by Andy Blankenbuehler, and musical supervision and orchestrations by Alex Lacamoire, HAMILTON is based on Ron Chernow's acclaimed biography. It has won Tony®, Grammy®, and Olivier Awards, the Pulitzer Prize for Drama, and an unprecedented special citation from the Kennedy Center Honors.",USD,https://www.ticketmaster.com/hamilton-touring-tempe-arizona-06-25-2024/event/19005F76966C1150,G5v0Z9MQphvA8,N/A
